type_chauss,prix,image_lien,quartier,region
Chaussures,13000,https://images.coinafrique.com/thumb_4514824_uploaded_image1_1703615498.jpg,Dakar Plateau, Dakar
Chaussurespour,8000,https://images.coinafrique.com/thumb_4514805_uploaded_image1_1703614843.jpg,Dakar Plateau, Dakar
Chaussures,6500,https://images.coinafrique.com/thumb_4476393_uploaded_image1_1701209697.jpg,Dakar Plateau, Dakar
Chaussurespour,9000,https://images.coinafrique.com/thumb_4516156_uploaded_image1_1703690655.jpg,Yoff, Dakar
Chaussures,3000,https://images.coinafrique.com/thumb_4464312_uploaded_image1_1700415241.jpg,Colobane, Dakar
Chaussures,4000,https://images.coinafrique.com/thumb_4464284_uploaded_image1_1700414113.jpg,Colobane, Dakar
Chaussures,9000,https://images.coinafrique.com/thumb_4486289_uploaded_image1_1701786845.jpg,Dieuppeul-Derklé, Dakar
Chaussures,6000,https://images.coinafrique.com/thumb_4452170_uploaded_image1_1699621092.jpg,Dakar Plateau, Dakar
Chaussures,20000,https://images.coinafrique.com/thumb_4481347_uploaded_image1_1701486467.jpg,Dakar Plateau, Dakar
Chaussures,3000,https://images.coinafrique.com/thumb_4404739_uploaded_image1_1696545306.jpg,Dakar Plateau, Dakar
Baskets,20000,https://images.coinafrique.com/thumb_4402939_uploaded_image1_1696449724.jpg,Colobane, Dakar
Chaussures,20000,https://images.coinafrique.com/thumb_4430647_uploaded_image1_1698289087.jpg,Grand Dakar, Dakar
Sandales,3000,https://images.coinafrique.com/thumb_4427622_uploaded_image2_1698104491.jpeg,Dakar, Sénégal
Chaussures,5000,https://images.coinafrique.com/thumb_4422835_uploaded_image1_1697766757.jpg,Ouest Foire, Dakar
Chaussures,8500,https://images.coinafrique.com/thumb_4381758_uploaded_image1_1695064657.jpg,Dakar Plateau, Dakar
Chaussures,13000,https://images.coinafrique.com/thumb_4414779_uploaded_image1_1697159524.jpg,Dakar, Sénégal
Chaussures,8000,https://images.coinafrique.com/thumb_4375022_uploaded_image1_1694607723.jpg,Dakar Plateau, Dakar
