type_chauss,prix,image_lien,quartier,region
Mocassinsen,6000,https://images.coinafrique.com/thumb_4562289_uploaded_image1_1706184237.jpg,Guediawaye, Dakar
Chaussures,20000,https://images.coinafrique.com/thumb_4535386_uploaded_image1_1704795900.jpg,Colobane, Dakar
Chaussures,20000,https://images.coinafrique.com/thumb_4544916_uploaded_image1_1705254760.jpg,Dakar Plateau, Dakar
Chaussures,20000,https://images.coinafrique.com/thumb_4544918_uploaded_image1_1705254898.jpg,Dakar Plateau, Dakar
Chaussures,16000,https://images.coinafrique.com/thumb_4544912_uploaded_image1_1705254624.jpg,Dakar Plateau, Dakar
Chaussures,20000,https://images.coinafrique.com/thumb_4544894_uploaded_image1_1705254184.jpg,Dakar Plateau, Dakar
Chaussures,16000,https://images.coinafrique.com/thumb_4556348_uploaded_image1_1705860410.jpg,Dakar Plateau, Dakar
Chaussures,20000,https://images.coinafrique.com/thumb_4544887_uploaded_image1_1705253793.jpg,Dakar Plateau, Dakar
Chaussures,13000,https://images.coinafrique.com/thumb_4536262_uploaded_image1_1704820335.jpg,Dakar Plateau, Dakar
Chaussures,20000,https://images.coinafrique.com/thumb_4536265_uploaded_image1_1704820451.jpg,Dakar Plateau, Dakar
Chaussures,13000,https://images.coinafrique.com/thumb_4544876_uploaded_image1_1705253410.jpg,Dakar Plateau, Dakar
Chaussures,20000,https://images.coinafrique.com/thumb_4536246_uploaded_image1_1704819856.jpg,Dakar Plateau, Dakar
Chaussures,20000,https://images.coinafrique.com/thumb_4536243_uploaded_image1_1704819793.jpg,Dakar Plateau, Dakar
Chaussures,20000,https://images.coinafrique.com/thumb_4536240_uploaded_image1_1704819741.jpg,Dakar Plateau, Dakar
Chaussures,20000,https://images.coinafrique.com/thumb_4536247_uploaded_image1_1704819927.jpg,Dakar Plateau, Dakar
Chaussures,20000,https://images.coinafrique.com/thumb_4536258_uploaded_image1_1704820273.jpg,Dakar Plateau, Dakar
Chaussures,20000,https://images.coinafrique.com/thumb_4534147_uploaded_image1_1704728290.jpg,Dakar Plateau, Dakar
Chaussures,14000,https://images.coinafrique.com/thumb_4516028_uploaded_image1_1703686393.jpg,Colobane, Dakar
Chaussures,13000,https://images.coinafrique.com/thumb_4516019_uploaded_image1_1703686096.jpg,Colobane, Dakar
Chaussures,16000,https://images.coinafrique.com/thumb_4516011_uploaded_image1_1703685798.jpg,Colobane, Dakar
Chaussures,20000,https://images.coinafrique.com/thumb_4554908_uploaded_image1_1705756194.jpg,Dakar Plateau, Dakar
