type_habit,prix,image_lien,quartier,region
Blouson,8500,https://images.coinafrique.com/thumb_4556181_uploaded_image1_1705852562.jpg,Colobane, Dakar
Ensemble,6000,https://images.coinafrique.com/thumb_4512928_uploaded_image1_1703449636.jpg,Dakar Plateau, Dakar
Vetements,8000,https://images.coinafrique.com/thumb_4519620_uploaded_image1_1703885107.jpg,Colobane, Dakar
Vetement,8000,https://images.coinafrique.com/thumb_4510412_uploaded_image1_1703252917.jpg,Colobane, Dakar
Vêtements,8000,https://images.coinafrique.com/thumb_4510416_uploaded_image1_1703253068.jpg,Colobane, Dakar
Blousonpourenfant4-15,8000,https://images.coinafrique.com/thumb_4505009_uploaded_image1_1702930372.jpg,Colobane, Dakar
Ensembleblousonpour,5500,https://images.coinafrique.com/thumb_4538922_uploaded_image1_1704933290.jpg,Thies, Sénégal
Blousonpour,6000,https://images.coinafrique.com/thumb_4527014_uploaded_image1_1704375688.jpg,Almadies, Dakar
Pullenfantavec,5000,https://images.coinafrique.com/thumb_4522850_uploaded_image1_1704190687.jpg,Thies, Sénégal
Pullpour,5000,https://images.coinafrique.com/thumb_4522837_uploaded_image1_1704190481.jpg,Thies, Sénégal
Vêtements,12000,https://images.coinafrique.com/thumb_4511886_uploaded_image1_1703350307.jpg,Yoff, Dakar
Blouson,5000,https://images.coinafrique.com/thumb_4511874_uploaded_image1_1703350100.jpg,Yoff, Dakar
Blouson,5500,https://images.coinafrique.com/thumb_4511870_uploaded_image1_1703349818.jpg,Yoff, Dakar
Friperie,3500,https://images.coinafrique.com/thumb_4509708_uploaded_image1_1703199232.jpg,Sicap Liberté, Dakar
Ensembleenfants2-,8000,https://images.coinafrique.com/thumb_4464056_uploaded_image1_1700401019.jpg,Colobane, Dakar
Caleçons,6000,https://images.coinafrique.com/thumb_4483580_uploaded_image1_1701637915.jpg,Dakar, Sénégal
Vêtements,50000,https://images.coinafrique.com/thumb_4481479_uploaded_image1_1701502931.jpg,Sipres, Dakar
Ensemblevestepour,23000,https://images.coinafrique.com/thumb_4479762_uploaded_image1_1701402947.jpg,Dakar, Sénégal
Boxers,6500,https://images.coinafrique.com/thumb_4471141_uploaded_image1_1700838256.jpg,Dakar, Sénégal
Slips,7000,https://images.coinafrique.com/thumb_4467057_uploaded_image1_1700591564.jpg,Mermoz-Sacré Coeur, Dakar
Pulls,2000,https://images.coinafrique.com/thumb_4453370_uploaded_image1_1699697688.jpg,Yoff, Dakar
PolosLacoste,4500,https://images.coinafrique.com/thumb_4394815_uploaded_image1_1695942580.jpg,Dakar Plateau, Dakar
Vêtement,4500,https://images.coinafrique.com/thumb_4394813_uploaded_image1_1695942485.jpg,Dakar Plateau, Dakar
Jeanspour,6000,https://images.coinafrique.com/thumb_4397937_uploaded_image1_1696183097.jpg,Colobane, Dakar
Robe,15000,https://images.coinafrique.com/thumb_4430601_uploaded_image1_1698283193.jpg,Dakar, Sénégal
Robedeprière,2500,https://images.coinafrique.com/thumb_4421455_uploaded_image1_1697627353.jpg,Dakar, Sénégal
Pantalonpour,2500,https://images.coinafrique.com/thumb_4405127_uploaded_image1_1696582094.jpg,Dakar, Sénégal
PoloLacoste,1500,https://images.coinafrique.com/thumb_4405119_uploaded_image1_1696581900.jpg,Dakar, Sénégal
Ensemble,13000,https://images.coinafrique.com/thumb_4402991_uploaded_image1_1696452237.jpg,Dakar, Sénégal
Ensemble,7000,https://images.coinafrique.com/thumb_4402988_uploaded_image1_1696452036.jpg,Dakar, Sénégal
Ensembleshort+,8000,https://images.coinafrique.com/thumb_4402983_uploaded_image1_1696451930.jpg,Dakar, Sénégal
Ensemble2piècespour,14000,https://images.coinafrique.com/thumb_4402284_uploaded_image1_1696423054.jpg,Dakar, Sénégal
Vêtements,4000,https://images.coinafrique.com/thumb_4350530_uploaded_image1_1692994986.jpg,Dakar Plateau, Dakar
Robe,9300,https://images.coinafrique.com/thumb_4342288_uploaded_image1_1692460517.jpg,Ngor, Dakar
Ensemblevêtement,15300,https://images.coinafrique.com/thumb_4340725_uploaded_image1_1692365333.jpg,Ngor, Dakar
,9000,https://images.coinafrique.com/thumb_4340716_uploaded_image1_1692364927.jpg,Ngor, Dakar
Vêtement,6500,https://images.coinafrique.com/thumb_4333845_uploaded_image1_1691951676.jpg,Dakar Plateau, Dakar
Robesalopette,10000,https://images.coinafrique.com/thumb_4370465_uploaded_image1_1694292219.jpg,Dakar, Sénégal
Ensemble,11500,https://images.coinafrique.com/thumb_4370442_uploaded_image1_1694291640.jpg,Dakar, Sénégal
Vêtement,6500,https://images.coinafrique.com/thumb_4330580_uploaded_image1_1691701473.jpg,Dakar Plateau, Dakar
Vêtement,4500,https://images.coinafrique.com/thumb_4327566_uploaded_image1_1691526561.jpg,Dakar Plateau, Dakar
Maillot,2000,https://images.coinafrique.com/thumb_4344836_uploaded_image1_1692651906.jpg,Thies, Sénégal
Vêtements,2000,https://images.coinafrique.com/thumb_4314416_uploaded_image1_1690724018.jpg,Colobane, Dakar
Djellaba,8500,https://images.coinafrique.com/thumb_4288629_uploaded_image1_1688997320.jpg,Colobane, Dakar
Pyjama,6000,https://images.coinafrique.com/thumb_4316063_uploaded_image2_1690843428.jpeg,Dakar, Sénégal
CulotteBerksha,15000,https://images.coinafrique.com/thumb_4304204_uploaded_image1_1690023768.jpg,Ngor, Dakar
Vêtements,8000,https://images.coinafrique.com/thumb_4268608_uploaded_image1_1687563200.jpg,Colobane, Dakar
Vêtements,8000,https://images.coinafrique.com/thumb_4268605_uploaded_image1_1687563103.jpg,Colobane, Dakar
Ensemblepour,10000,https://images.coinafrique.com/thumb_4267915_uploaded_image1_1687523597.jpg,Colobane, Dakar
Vêtements,8000,https://images.coinafrique.com/thumb_4266992_uploaded_image1_1687458981.jpg,Colobane, Dakar
