type_habit,prix,proprietaire,image_lien,quartier,region
Lacoste,8000,HERITAGE Business,https://images.coinafrique.com/thumb_4539306_uploaded_image1_1704968817.jpg,Colobane, Dakar
Vêtements,11000,HERITAGE Business,https://images.coinafrique.com/thumb_4526447_uploaded_image1_1704362537.jpg,Colobane, Dakar
Vêtements,5000,HERITAGE Business,https://images.coinafrique.com/thumb_4526458_uploaded_image1_1704362747.jpg,Colobane, Dakar
Vêtements,13000,HERITAGE Business,https://images.coinafrique.com/thumb_4526452_uploaded_image1_1704362643.jpg,Colobane, Dakar
Ensemblehomme,15000,HERITAGE Business,https://images.coinafrique.com/thumb_4540561_uploaded_image1_1705005679.jpg,Colobane, Dakar
Pantalonkaki,7000,HERITAGE Business,https://images.coinafrique.com/thumb_4529388_uploaded_image1_1704477780.jpg,Colobane, Dakar
Pantalonsjeans,8000,HERITAGE Business,https://images.coinafrique.com/thumb_4529385_uploaded_image1_1704477658.jpg,Colobane, Dakar
Pantalons,8000,HERITAGE Business,https://images.coinafrique.com/thumb_4529382_uploaded_image1_1704477576.jpg,Colobane, Dakar
Vêtements,15000,HERITAGE Business,https://images.coinafrique.com/thumb_4515979_uploaded_image1_1703684021.jpg,Colobane, Dakar
Vêtements,13000,HERITAGE Business,https://images.coinafrique.com/thumb_4515972_uploaded_image1_1703683776.jpg,Colobane, Dakar
Vêtements,13000,HERITAGE Business,https://images.coinafrique.com/thumb_4515966_uploaded_image1_1703683510.jpg,Colobane, Dakar
Pantalon,8000,HERITAGE Business,https://images.coinafrique.com/thumb_4515962_uploaded_image1_1703683402.jpg,Colobane, Dakar
Vêtements,7000,HERITAGE Business,https://images.coinafrique.com/thumb_4515952_uploaded_image1_1703683157.jpg,Colobane, Dakar
Polos,7000,HERITAGE Business,https://images.coinafrique.com/thumb_4515938_uploaded_image1_1703682767.jpg,Colobane, Dakar
Débardeur,10000,HERITAGE Business,https://images.coinafrique.com/thumb_4515926_uploaded_image1_1703682502.jpg,Colobane, Dakar
T-shirt,6000,HERITAGE Business,https://images.coinafrique.com/thumb_4515931_uploaded_image1_1703682617.jpg,Colobane, Dakar
Chemise,12000,HERITAGE Business,https://images.coinafrique.com/thumb_4515916_uploaded_image1_1703682098.jpg,Colobane, Dakar
Chemise,8000,HERITAGE Business,https://images.coinafrique.com/thumb_4515915_uploaded_image1_1703682015.jpg,Colobane, Dakar
Vêtements,20000,HERITAGE Business,https://images.coinafrique.com/thumb_4497999_uploaded_image1_1702475653.jpg,Colobane, Dakar
Vêtements,20000,HERITAGE Business,https://images.coinafrique.com/thumb_4498001_uploaded_image1_1702475767.jpg,Colobane, Dakar
Vêtements,10000,HERITAGE Business,https://images.coinafrique.com/thumb_4492066_uploaded_image1_1702111448.jpg,Colobane, Dakar
Ensemblehommeet,10000,HERITAGE Business,https://images.coinafrique.com/thumb_4492055_uploaded_image1_1702111061.jpg,Colobane, Dakar
Vêtements,13000,HERITAGE Business,https://images.coinafrique.com/thumb_4492061_uploaded_image1_1702111282.jpg,Colobane, Dakar
Vêtements,12000,HERITAGE Business,https://images.coinafrique.com/thumb_4492049_uploaded_image1_1702110814.jpg,Colobane, Dakar
Djellaba,13000,HERITAGE Business,https://images.coinafrique.com/thumb_4482929_uploaded_image1_1701605240.jpg,Colobane, Dakar
EnsembleTurquieen,20000,HERITAGE Business,https://images.coinafrique.com/thumb_4467264_uploaded_image1_1700604156.jpg,Colobane, Dakar
Vêtements,12000,HERITAGE Business,https://images.coinafrique.com/thumb_4465520_uploaded_image1_1700501264.jpg,Colobane, Dakar
Vêtements,12000,HERITAGE Business,https://images.coinafrique.com/thumb_4451818_uploaded_image1_1699611165.jpg,Colobane, Dakar
Vêtementshommeen,12000,HERITAGE Business,https://images.coinafrique.com/thumb_4449606_uploaded_image1_1699471712.jpg,Colobane, Dakar
