web-scraper-order,web-scraper-start-url,type_chaussures_homme,prix,adresse,image-lien-src
"1706025426-1","https://sn.coinafrique.com/categorie/chaussures-homme?page50","Chaussures homme","16 000CFA","Colobane, Dakar, Sénégal","https://images.coinafrique.com/thumb_4516011_uploaded_image1_1703685798.jpg"
"1706025432-2","https://sn.coinafrique.com/categorie/chaussures-homme?page49","Chaussures homme","16 000CFA","Colobane, Dakar, Sénégal","https://images.coinafrique.com/thumb_4516011_uploaded_image1_1703685798.jpg"
"1706025438-3","https://sn.coinafrique.com/categorie/chaussures-homme?page48","Chaussures homme","16 000CFA","Colobane, Dakar, Sénégal","https://images.coinafrique.com/thumb_4516011_uploaded_image1_1703685798.jpg"
"1706025444-4","https://sn.coinafrique.com/categorie/chaussures-homme?page47","Chaussures homme","16 000CFA","Colobane, Dakar, Sénégal","https://images.coinafrique.com/thumb_4516011_uploaded_image1_1703685798.jpg"
"1706025450-5","https://sn.coinafrique.com/categorie/chaussures-homme?page46","Chaussures homme","16 000CFA","Colobane, Dakar, Sénégal","https://images.coinafrique.com/thumb_4516011_uploaded_image1_1703685798.jpg"
"1706025455-6","https://sn.coinafrique.com/categorie/chaussures-homme?page45","Chaussures homme","16 000CFA","Colobane, Dakar, Sénégal","https://images.coinafrique.com/thumb_4516011_uploaded_image1_1703685798.jpg"
"1706025461-7","https://sn.coinafrique.com/categorie/chaussures-homme?page44","Chaussures homme","16 000CFA","Colobane, Dakar, Sénégal","https://images.coinafrique.com/thumb_4516011_uploaded_image1_1703685798.jpg"
"1706025467-8","https://sn.coinafrique.com/categorie/chaussures-homme?page43","Chaussures homme","16 000CFA","Colobane, Dakar, Sénégal","https://images.coinafrique.com/thumb_4516011_uploaded_image1_1703685798.jpg"
"1706025472-9","https://sn.coinafrique.com/categorie/chaussures-homme?page42","Chaussures homme","16 000CFA","Colobane, Dakar, Sénégal","https://images.coinafrique.com/thumb_4516011_uploaded_image1_1703685798.jpg"
"1706025478-10","https://sn.coinafrique.com/categorie/chaussures-homme?page41","Chaussures homme","16 000CFA","Colobane, Dakar, Sénégal","https://images.coinafrique.com/thumb_4516011_uploaded_image1_1703685798.jpg"
