web-scraper-order,web-scraper-start-url,vetement_enfant,prix,adresse,image_lien
"1706026359-1","https://sn.coinafrique.com/categorie/vetements-enfants?page21","Blouson enfants","8 500CFA","Colobane, Dakar, Sénégal",""
"1706026365-2","https://sn.coinafrique.com/categorie/vetements-enfants?page20","Blouson enfants","8 500CFA","Colobane, Dakar, Sénégal",""
"1706026371-3","https://sn.coinafrique.com/categorie/vetements-enfants?page19","Blouson enfants","8 500CFA","Colobane, Dakar, Sénégal",""
"1706026377-4","https://sn.coinafrique.com/categorie/vetements-enfants?page18","Blouson enfants","8 500CFA","Colobane, Dakar, Sénégal",""
"1706026383-5","https://sn.coinafrique.com/categorie/vetements-enfants?page17","Blouson enfants","8 500CFA","Colobane, Dakar, Sénégal",""
"1706026388-6","https://sn.coinafrique.com/categorie/vetements-enfants?page16","Blouson enfants","8 500CFA","Colobane, Dakar, Sénégal",""
"1706026394-7","https://sn.coinafrique.com/categorie/vetements-enfants?page15","Blouson enfants","8 500CFA","Colobane, Dakar, Sénégal",""
"1706026400-8","https://sn.coinafrique.com/categorie/vetements-enfants?page14","Blouson enfants","8 500CFA","Colobane, Dakar, Sénégal",""
"1706026405-9","https://sn.coinafrique.com/categorie/vetements-enfants?page13","Blouson enfants","8 500CFA","Colobane, Dakar, Sénégal",""
"1706026411-10","https://sn.coinafrique.com/categorie/vetements-enfants?page12","Blouson enfants","8 500CFA","Colobane, Dakar, Sénégal",""
"1706026417-11","https://sn.coinafrique.com/categorie/vetements-enfants?page11","Blouson enfants","8 500CFA","Colobane, Dakar, Sénégal",""
"1706026423-12","https://sn.coinafrique.com/categorie/vetements-enfants?page10","Blouson enfants","8 500CFA","Colobane, Dakar, Sénégal",""
"1706026428-13","https://sn.coinafrique.com/categorie/vetements-enfants?page9","Blouson enfants","8 500CFA","Colobane, Dakar, Sénégal",""
"1706026435-14","https://sn.coinafrique.com/categorie/vetements-enfants?page8","Blouson enfants","8 500CFA","Colobane, Dakar, Sénégal",""
"1706026441-15","https://sn.coinafrique.com/categorie/vetements-enfants?page7","Blouson enfants","8 500CFA","Colobane, Dakar, Sénégal",""
"1706026447-16","https://sn.coinafrique.com/categorie/vetements-enfants?page6","Blouson enfants","8 500CFA","Colobane, Dakar, Sénégal",""
"1706026452-17","https://sn.coinafrique.com/categorie/vetements-enfants?page5","Blouson enfants","8 500CFA","Colobane, Dakar, Sénégal",""
"1706026458-18","https://sn.coinafrique.com/categorie/vetements-enfants?page4","Blouson enfants","8 500CFA","Colobane, Dakar, Sénégal",""
"1706026464-19","https://sn.coinafrique.com/categorie/vetements-enfants?page3","Blouson enfants","8 500CFA","Colobane, Dakar, Sénégal",""
"1706026471-20","https://sn.coinafrique.com/categorie/vetements-enfants?page2","Blouson enfants","8 500CFA","Colobane, Dakar, Sénégal",""
"1706026477-21","https://sn.coinafrique.com/categorie/vetements-enfants?page1","Blouson enfants","8 500CFA","Colobane, Dakar, Sénégal",""
